Charge,is_violent,is_drug,is_firearm,is_MinorInvolved,is_roadSafetyHazard,is_sexoffense,is_fraud,is_petty
Trespass Property w/Dang Weap,0,0,1,0,0,0,0,1
Trespass Struct/Convey Occupy,0,0,0,0,0,0,0,1
Trespass Struct/Conveyance,0,0,0,0,0,0,0,1
Trespass Structure w/Dang Weap,0,0,1,0,0,0,0,1
Trespass Structure/Conveyance,0,0,0,0,0,0,0,1
Trespass/Property/Other Structure,0,0,0,0,0,0,0,1
Trespassing/Construction Site,0,0,0,0,0,0,0,1
Tresspass Struct/Conveyance,0,0,0,0,0,0,0,1
Tresspass in Structure or Conveyance,0,0,0,0,0,0,0,1
Unauth C/P/S Sounds>1000/Audio,0,0,0,0,0,0,0,1
Unauth Poss ID Card or DL,0,0,0,0,1,0,0,1
Unauthor Copy of Sound Article,0,0,0,0,0,0,0,1
Unauthorized Interf w/Railroad,0,0,0,0,0,0,0,1
Unl/Disturb Education/Instui,0,0,0,0,0,0,0,1
Unlaw Fail Secur Work Comp Ins,0,0,0,0,0,0,0,1
Unlaw Lic Use/Disply Of Others,0,0,0,0,0,0,0,1
Unlaw LicTag/Sticker Attach,0,0,0,0,0,0,0,1
Unlaw Pos of Prson ID of another,0,0,0,0,0,0,0,1
Unlaw Use False Name/Identity,0,0,0,0,0,0,0,1
Unlawful Alter Of Tag,0,0,0,0,0,0,0,1
Unlawful Conveyance of Fuel,0,0,0,0,0,0,0,1
Unlawful Sexual Activity,0,0,0,0,0,1,0,1
Unlawful Use Of Police Badges,0,0,0,0,0,0,0,1
Unlicensed Telemarketing,0,0,0,0,0,0,0,1
Use Computer for Child Exploit,0,0,0,1,0,0,0,1
Use Of 2 Way Device To Fac Fel,0,0,0,0,0,0,0,1
Use Scanning Device to Defraud,0,0,0,0,0,0,1,0
Use of Anti-Shoplifting Device,0,0,0,0,0,0,0,1
Uttering Forged Bills,0,0,0,0,0,0,1,0
Uttering Forged Credit Card,0,0,0,0,0,0,1,0
Uttering Worthless Check +$150,0,0,0,0,0,0,1,0
Uttering a Forged Instrument,0,0,0,0,0,0,1,0
Video Voyeur-<24Y on Child >16,0,0,0,1,0,0,0,0
Viol Injunct Domestic Violence,0,0,0,0,0,0,0,0
Viol Injunction Protect Dom Vi,0,0,0,0,0,0,0,0
Viol Pretrial Release Dom Viol,0,0,0,0,0,0,0,0
Viol Prot Injunc Repeat Viol,0,0,0,0,0,0,0,0
Violation License Restrictions,0,0,0,0,1,0,0,1
Violation Of Boater Safety Id,0,0,0,0,0,0,0,1
Violation of Injunction Order/Stalking/Cyberstalking,0,0,0,0,0,0,0,0
Voyeurism,0,0,0,0,0,1,0,0
Wear Mask w/Commit Offense,0,0,0,0,0,0,0,1
Workers Compensation Fraud,0,0,0,0,0,0,1,0
